排名,播放,点赞,评论,转发,收藏,作者,粉丝,地区,时长(秒),发布时间,标题,命中关键词,链接
1,38764529,2279896,9674,124722,1161688,Song Of Skin,1417965,US,154,2024-03-01,If I was new to skincare this is exactly what I would use 🫧✨ Korean beauty is my absolute favorite and this is the best ,korean skincare routine,https://www.tiktok.com/@songofskin/video/7341518116192652587?_r=1&u_code=f042i3869dge8f&preview_pb=0&sharer_language=en&_d=f04538ca0348gb&share_item_id=7341518116192652587&source=h5_m
2,8334634,465559,2008,38467,263255,Dr. Jing (Jenny) Liu,486975,US,53,2026-06-02,Zinc is another underrated ingredient but I prefer using barrier creams like @AveneUSA Cicalfate or @LaRochePosayUS Cica,slugging skincare,https://www.tiktok.com/@drjennyliu/video/7646584708993764622?_r=1&u_code=ec870851jm948b&preview_pb=0&sharer_language=en&_d=f17id7d4k0gi7h&share_item_id=7646584708993764622&source=h5_m
3,5699626,613193,1064,11395,171019,kelly,1001226,US,151,2025-12-07,imma need you guys to lock in! 👀 this is the skincare routine that fr TRANSFORMED my skin ✨ lmk what some of your fav sk,glass skin routine,https://www.tiktok.com/@itsbabykelz/video/7581205822701587767?_r=1&u_code=eabfh8cldf18km&preview_pb=0&sharer_language=en&_d=f30keg3fg7m48a&share_item_id=7581205822701587767&source=h5_m
4,6148566,367155,4825,31755,192617,Gina & Marissa,488675,US,57,2026-01-12,These are the 4 things I do consistently in my skincare routine that have changed my skin. 1: Double cleansing every nig,anti aging routine,https://www.tiktok.com/@mysistersskin/video/7594366623243406647?_r=1&u_code=f0i31gd50i123c&preview_pb=0&sharer_language=en&_d=f0i4d1k4549485&share_item_id=7594366623243406647&source=h5_m
5,11100035,582200,2488,47468,97677,KbyChaem,94896,KR,34,2026-05-29,"Two generations,  one anti-aging routine.👯‍♀️ @PURITO SEOUL  #puritoseoul #retinol #retinal #puritoRetinolRetinal #antia",retinol results,https://www.tiktok.com/@chaem5050/video/7645111475731762452?_r=1&u_code=em2b3lgabifj41&preview_pb=0&sharer_language=en&_d=em2b3eg883adfa&share_item_id=7645111475731762452&source=h5_m
6,4456456,230920,2766,29399,198440,Gina & Marissa,488675,US,325,2026-03-29,Work these three products into your skin care routine to reverse your skin age and give you glowing glass skin. First is,anti aging routine,https://www.tiktok.com/@mysistersskin/video/7622526463807573261?_r=1&u_code=f0i31gd50i123c&preview_pb=0&sharer_language=en&_d=f0i4d1k4549485&share_item_id=7622526463807573261&source=h5_m
7,7264411,340094,889,19705,171804,leeskin,214114,KR,47,2026-08-01,How to make pores look smaller without using pressure: use retinal + moisturizer consistently Product mentioned: Celimax,pore care routine,https://www.tiktok.com/@leeskincare7/video/7669135576649583879?_r=1&u_code=f0g1hi8ak3ll6h&preview_pb=0&sharer_language=en&_d=f0gkj76e30ddcb&share_item_id=7669135576649583879&source=h5_m
8,3434147,226678,622,5892,73041,starrymangata,3776,US,19,2026-01-19,My miracle mask for acne scarring clears inflammation so quick. Ignore how oily my skin is haha. Recipe is in the commen,acne before after,https://www.tiktok.com/@starrymangata/video/7597117177279401271?_r=1&u_code=em2cljdihj9bbh&preview_pb=0&sharer_language=en&_d=em2clb53m7g1kj&share_item_id=7597117177279401271&source=h5_m
9,3640714,162927,495,6944,82468,sasa,1496028,KR,107,2026-06-25,"How to fix enlarged pore  If you are struggling with large pore, don’t miss this from Amazon Sale   #mixsoon #PDRNRetina",pore care routine,https://www.tiktok.com/@sasainseoul/video/7655163136479350037?_r=1&u_code=f0g1hi8ak3ll6h&preview_pb=0&sharer_language=en&_d=f0gkj76e30ddcb&share_item_id=7655163136479350037&source=h5_m
10,2341026,291869,1105,6740,32962,이거지예,62130,KR,68,2026-04-23,나이트 케어 루틴 Night Routine 🧖‍♀️🌙🧼🫧🚿🛀✨ #nightroutine #nightcare #skincare #Vlog #homecare,korean skincare routine,https://www.tiktok.com/@zeeyeseo/video/7631937517771656469?_r=1&u_code=f042i3869dge8f&preview_pb=0&sharer_language=en&_d=f04538ca0348gb&share_item_id=7631937517771656469&source=h5_m
11,1925963,195892,485,3728,59630,kelly,1001272,US,133,2026-02-23,"sit back, relax, and do my nighttime skincare routine with me 🤍 @ma:nyo global @The Face Shop US @medicube global @byoma",nighttime skincare routine,https://www.tiktok.com/@itsbabykelz/video/7610123677245426958?_r=1&u_code=f08jaga947fiba&preview_pb=0&sharer_language=en&_d=f1i829ba2i1efh&share_item_id=7610123677245426958&source=h5_m
12,1677909,125108,1461,15663,61362,YourTikTokSister,321714,US,416,2026-07-21,Failed It or Nailed It • Dollar Tree Empties Edition 💯🙌🙅‍♀️🚫 Reviewing & Rating Viral $1.25 Beauty & Skincare and giving,honest product review,https://www.tiktok.com/@yourtiktocksister/video/7664782807041903902?_r=1&u_code=f0i66l8cg7cj6l&preview_pb=0&sharer_language=en&_d=f0ih95fi0ka1j7&share_item_id=7664782807041903902&source=h5_m
13,3278823,134090,667,16820,56547,Glowwithobehi,112829,FR,20,2026-08-15,Deep hydration with plumper looking skin 💙✨ #meditherapy #hyaluronicacid #koreanskincare #dryskin #fineline  @Meditherap,hyaluronic acid serum,https://www.tiktok.com/@glowwithobehi/video/7674097432526884129?_r=1&u_code=f01520kkg3i9cm&preview_pb=0&sharer_language=en&_d=f01agf9h1lgk3g&share_item_id=7674097432526884129&source=h5_m
14,3589026,207809,1174,4334,48396,Dr Adel | Dermatologist,1825893,GB,23,2022-10-28,How to slug like a derm 🧴 🤍 #dermatologist #dermatologydoctor #skincareroutine #skintok #skincare #skincaretips #learnon,slugging skincare,https://www.tiktok.com/@aamnaadel/video/7159630694954634502?_r=1&u_code=ec870851jm948b&preview_pb=0&sharer_language=en&_d=f17id7d4k0gi7h&share_item_id=7159630694954634502&source=h5_m
15,6490529,137848,535,12486,53426,Idil Ci,559756,DE,41,2025-12-04,"My @SKIN1004 US era just keeps getting better 💕 The centella routine is still my skin’s happy place, calm, glowy, soft ✨",5 step skincare,https://www.tiktok.com/@idylleed/video/7580060469709344022?_r=1&u_code=f0j0g23bm03hmd&preview_pb=0&sharer_language=en&_d=f0j0g0fh963gdg&share_item_id=7580060469709344022&source=h5_m
16,2190529,253751,546,2902,17571,Demi,3485958,US,310,2026-09-13,$30 ADVENT CALENDAR YALL 🤣👀🧐 #makeup #adventcalendar #makeupreview #honestreview #affordablemakeup,honest product review,https://www.tiktok.com/@demingai/video/7685077270750448909?_r=1&u_code=f0i66l8cg7cj6l&preview_pb=0&sharer_language=en&_d=f0ih95fi0ka1j7&share_item_id=7685077270750448909&source=h5_m
17,1607212,112432,1084,7722,52494,Dr. Whitney Bowe,1105196,US,44,2022-02-25,You asked for details about #skincycling Enjoy!  #dermatologist #thatboweglow #skincare #skincarelayering #exfoliate #gl,skin cycling,https://www.tiktok.com/@drwhitneybowe/video/7068614803903745323?_r=1&u_code=f0fcj1dgd9m2hh&preview_pb=0&sharer_language=en&_d=f311l0m001mdgk&share_item_id=7068614803903745323&source=h5_m
18,1534218,104861,1361,4501,59352,sunnyfromsunnybread,542402,KR,415,2026-03-30,Replying to @݁˖ ❀ ⋆｡˚𝑨𝒍𝒊𝒄𝒋𝒂₊ ⊹❀ It is not that hard is it ?  Product Recommendation  low ph cleanser @107Beauty  Toner @,skin barrier repair,https://www.tiktok.com/@sunnyfromsunnybread/video/7622869778008444167?_r=1&u_code=f0hill6blh5e4e&preview_pb=0&sharer_language=en&_d=f0hk82dgiie35d&share_item_id=7622869778008444167&source=h5_m
19,1024916,94580,989,4479,42695,sasa,1495663,US,140,2026-08-03,@Rubymeer 님에게 회신 no ad teenager skincare routine! Simple & effective  This video has been requested for long time! I wan,korean skincare routine,https://www.tiktok.com/@sasainseoul/video/7669681716176456980?_r=1&u_code=f042i3869dge8f&preview_pb=0&sharer_language=en&_d=f04538ca0348gb&share_item_id=7669681716176456980&source=h5_m
20,2736908,192936,798,6183,6230,HIMANSHA 🍃,6562,KW,60,2026-06-05,"If you feel like giving up, this is your sign to keep your hopes more.... believe in your self… you are strong enough fo",acne before after,https://www.tiktok.com/@himanshamahoshadhi0/video/7647777666547944724?_r=1&u_code=em2cljdihj9bbh&preview_pb=0&sharer_language=en&_d=em2clb53m7g1kj&share_item_id=7647777666547944724&source=h5_m
21,1543371,80722,258,2706,47641,alisha abdulla,472111,US,78,2026-03-31,Share this with someone who needs to see it!! 💌🤯 this is exactly how to fix your skincare routine if you have skin textu,skincare mistakes,https://www.tiktok.com/@alishasapproach/video/7623566686658006285?_r=1&u_code=ebge3k1bahkf71&preview_pb=0&sharer_language=en&_d=f1i6376h0he1g4&share_item_id=7623566686658006285&source=h5_m
22,1399833,62026,1430,3904,49712,Skin by Kristin,703137,US,223,2025-03-28,Replying to @max the monkey I’m telling you this is the KEY to using a vitamin a product!!#retinol #retinolskincare #ret,skin cycling,https://www.tiktok.com/@skinbykristin/video/7486953291230874923?_r=1&u_code=f0fcj1dgd9m2hh&preview_pb=0&sharer_language=en&_d=f311l0m001mdgk&share_item_id=7486953291230874923&source=h5_m
23,1189470,96577,385,3443,38499,leeskin,214527,KR,47,2026-06-23,Korean use hyaluronic acid serums for plump glowy skin form within  Additional 15% discount code: LEESKIN15 Product ment,hyaluronic acid serum,https://www.tiktok.com/@leeskincare7/video/7654548962132643080?_r=1&u_code=f01520kkg3i9cm&preview_pb=0&sharer_language=en&_d=f01agf9h1lgk3g&share_item_id=7654548962132643080&source=h5_m
24,1141342,46432,620,26392,15816,Shumaila Skincare,52681,GB,71,2026-09-02,"Glow in 5 Steps Daily, Ice-Fresh Glow Routine #glowingskin #SkincareRoutine #spftips #niacinamide  #howtokeepyourskinglo",5 step skincare,https://www.tiktok.com/@shumaila.skincare/video/7680971590460247298?_r=1&u_code=f0j0g23bm03hmd&preview_pb=0&sharer_language=en&_d=f0j0g0fh963gdg&share_item_id=7680971590460247298&source=h5_m
25,715596,94450,196,4635,36397,Anka Casablanca,37823,LT,79,2026-06-12,Top 6 non toxic makeup brands🧴⭐️ @Kosas @Tower 28 Beauty @MERIT Beauty @Saie @Westman-Atelier @ILIA Beauty #nontoxicbeau,clean beauty,https://www.tiktok.com/@anka.casablanca/video/7650574132630801678?_r=1&u_code=f0j0h01alm4mlj&preview_pb=0&sharer_language=en&_d=f0j27cel10j4je&share_item_id=7650574132630801678&source=h5_m
