账号,粉丝,粉丝(可读),地区,作品数,场均播放,代表作分数,低粉高赞,代表作播放,总播放,总点赞,命中关键词,代表作,代表作链接
Song Of Skin,1417965,1.4M,US,1,38764529,6436940,是,38764529,38764529,2279896,korean skincare routine,If I was new to skincare this is exactly what I would use 🫧✨ Korean beauty is my absolute favorite and this is the best ,https://www.tiktok.com/@songofskin/video/7341518116192652587?_r=1&u_code=f042i3869dge8f&preview_pb=0&sharer_language=en&_d=f04538ca0348gb&share_item_id=7341518116192652587&source=h5_m
Dr. Jing (Jenny) Liu,486975,487.0K,US,4,2307673,1457699,是,8334634,9230692,514378,dermatologist skincare tips/slugging skincare,Zinc is another underrated ingredient but I prefer using barrier creams like @AveneUSA Cicalfate or @LaRochePosayUS Cica,https://www.tiktok.com/@drjennyliu/video/7646584708993764622?_r=1&u_code=ec870851jm948b&preview_pb=0&sharer_language=en&_d=f17id7d4k0gi7h&share_item_id=7646584708993764622&source=h5_m
kelly,1001272,1.0M,US,4,2141642,1188545,,5699626,8566569,895830,glass skin routine/korean skincare routine/nighttime skincare routine,imma need you guys to lock in! 👀 this is the skincare routine that fr TRANSFORMED my skin ✨ lmk what some of your fav sk,https://www.tiktok.com/@itsbabykelz/video/7581205822701587767?_r=1&u_code=eabfh8cldf18km&preview_pb=0&sharer_language=en&_d=f30keg3fg7m48a&share_item_id=7581205822701587767&source=h5_m
Gina & Marissa,489217,489.2K,US,5,2386098,1127906,是,6148566,11930492,627746,5 step skincare/anti aging routine/niacinamide serum review,These are the 4 things I do consistently in my skincare routine that have changed my skin. 1: Double cleansing every nig,https://www.tiktok.com/@mysistersskin/video/7594366623243406647?_r=1&u_code=f0i31gd50i123c&preview_pb=0&sharer_language=en&_d=f0i4d1k4549485&share_item_id=7594366623243406647&source=h5_m
KbyChaem,94896,94.9K,KR,1,11100035,1125011,是,11100035,11100035,582200,retinol results,"Two generations,  one anti-aging routine.👯‍♀️ @PURITO SEOUL  #puritoseoul #retinol #retinal #puritoRetinolRetinal #antia",https://www.tiktok.com/@chaem5050/video/7645111475731762452?_r=1&u_code=em2b3lgabifj41&preview_pb=0&sharer_language=en&_d=em2b3eg883adfa&share_item_id=7645111475731762452&source=h5_m
leeskin,214528,214.5K,KR,3,3115081,958476,是,7264411,9345243,507330,hyaluronic acid serum/korean skincare routine/pore care routine,How to make pores look smaller without using pressure: use retinal + moisturizer consistently Product mentioned: Celimax,https://www.tiktok.com/@leeskincare7/video/7669135576649583879?_r=1&u_code=f0g1hi8ak3ll6h&preview_pb=0&sharer_language=en&_d=f0gkj76e30ddcb&share_item_id=7669135576649583879&source=h5_m
starrymangata,3776,3.8K,US,1,3434147,478371,是,3434147,3434147,226678,acne before after,My miracle mask for acne scarring clears inflammation so quick. Ignore how oily my skin is haha. Recipe is in the commen,https://www.tiktok.com/@starrymangata/video/7597117177279401271?_r=1&u_code=em2cljdihj9bbh&preview_pb=0&sharer_language=en&_d=em2clb53m7g1kj&share_item_id=7597117177279401271&source=h5_m
sasa,1496028,1.5M,KR,3,1849641,447526,,3640714,5548922,314586,korean skincare routine/pore care routine,"How to fix enlarged pore  If you are struggling with large pore, don’t miss this from Amazon Sale   #mixsoon #PDRNRetina",https://www.tiktok.com/@sasainseoul/video/7655163136479350037?_r=1&u_code=f0g1hi8ak3ll6h&preview_pb=0&sharer_language=en&_d=f0gkj76e30ddcb&share_item_id=7655163136479350037&source=h5_m
이거지예,62130,62.1K,KR,1,2341026,429980,是,2341026,2341026,291869,korean skincare routine,나이트 케어 루틴 Night Routine 🧖‍♀️🌙🧼🫧🚿🛀✨ #nightroutine #nightcare #skincare #Vlog #homecare,https://www.tiktok.com/@zeeyeseo/video/7631937517771656469?_r=1&u_code=f042i3869dge8f&preview_pb=0&sharer_language=en&_d=f04538ca0348gb&share_item_id=7631937517771656469&source=h5_m
YourTikTokSister,321714,321.7K,US,1,1677909,394814,是,1677909,1677909,125108,honest product review,Failed It or Nailed It • Dollar Tree Empties Edition 💯🙌🙅‍♀️🚫 Reviewing & Rating Viral $1.25 Beauty & Skincare and giving,https://www.tiktok.com/@yourtiktocksister/video/7664782807041903902?_r=1&u_code=f0i66l8cg7cj6l&preview_pb=0&sharer_language=en&_d=f0ih95fi0ka1j7&share_item_id=7664782807041903902&source=h5_m
