排名,痛点词,热度,关联视频数,互动量,曝光量,关联销量
1,卡粉,1.67,63,67528,350w+,13686
2,脱妆,1.48,56,23204,340w+,10397
3,皮肤干燥,1.16,44,10133,180w+,5363
4,毛孔粗大,1.11,42,28814,490w+,12068
5,皮肤粗糙,0.85,32,8560,290w+,7055
6,卡粉斑驳,0.74,28,21430,410w+,8598
7,皮肤暗沉,0.69,26,8173,170w+,4396
8,皮肤干,0.63,24,41227,120w+,4857
9,毛孔大,0.61,23,32353,140w+,5939
10,暗沉,0.58,22,33687,55w+,3772
11,黑眼圈,0.56,21,35645,89w+,3980
12,显老,0.48,18,8293,100w+,6417
13,化妆卡粉,0.48,18,6132,120w+,4221
14,黑头闭口,0.45,17,14495,450w+,8599
15,爱出油,0.45,17,5061,150w+,4837
16,斑驳,0.42,16,6850,120w+,3284
17,斑斑点点,0.42,16,4473,100w+,2870
18,拔干,0.4,15,8321,130w+,5324
19,干燥起皮,0.4,15,3650,100w+,4343
20,法令纹,0.37,14,3772,23w+,1741
21,起皮,0.34,13,3053,68w+,2195
22,肤色不均,0.34,13,4144,76w+,2011
23,唇纹深,0.32,12,15290,400w+,9085
24,毛孔堵塞,0.32,12,4606,160w+,3578
25,出油,0.32,12,4562,84w+,2165
26,肤色暗沉,0.32,12,2788,55w+,2047
27,皮肤暗黄,0.29,11,9147,630w+,4772
28,干纹细纹,0.29,11,4207,31w+,1775
29,粉扑吃粉,0.26,10,50852,700w+,30372
30,紧绷,0.26,10,6536,98w+,4568
31,疙疙瘩瘩,0.26,10,4861,77w+,2276
32,唇纹,0.26,10,2455,18w+,1780
33,纹纹路路,0.26,10,2296,54w+,1570
34,卡粉浮粉,0.26,10,1824,38w+,1550
35,晕妆,0.24,9,13065,51w+,6675
36,结块,0.24,9,6747,90w+,6482
37,嘴巴干,0.24,9,2623,84w+,2102
38,嘴唇干,0.24,9,2771,13w+,2042
39,细纹,0.24,9,24264,68w+,1180
40,画眼线难,0.24,9,3083,60w+,1102
41,底妆不服帖,0.21,8,4853,38w+,5019
42,斑驳卡粉,0.21,8,5116,92w+,2109
43,皮肤黄,0.21,8,8737,140w+,2002
44,黑头,0.21,8,5957,370w+,1971
45,皮肤松弛,0.21,8,2311,22w+,1844
46,熬夜暗沉,0.21,8,2572,56w+,1520
47,底妆卡粉,0.21,8,1887,22w+,1501
48,卡粉起皮,0.21,8,4176,32w+,1461
49,熬夜,0.21,8,2875,22w+,1383
50,脸干,0.21,8,1653,33w+,1172
51,苍蝇腿,0.21,8,1599,12w+,926
52,氧化脱妆,0.21,8,1220,39w+,686
53,脱妆卡粉,0.19,7,3463,110w+,2800
54,小脸暗沉,0.19,7,3492,100w+,2744
55,黑头多,0.19,7,4637,52w+,2670
56,底妆脏,0.19,7,3829,120w+,2399
57,痘印,0.19,7,8797,87w+,2287
58,嘴唇起皮,0.19,7,889,6.4w+,1590
59,浮粉,0.19,7,3574,2.4w+,1562
60,起皮卡粉,0.19,7,4396,54w+,1492
61,出油脱妆,0.19,7,5544,27w+,1340
62,香肠嘴,0.19,7,1325,13w+,1323
63,有黑头,0.19,7,4818,32w+,1102
64,上妆卡粉,0.19,7,555,18w+,1066
65,卡纹卡粉,0.19,7,1476,22w+,1001
66,皮肤松垮,0.19,7,946,14w+,870
67,鱼尾纹,0.19,7,1858,17w+,808
68,紧绷拔干,0.19,7,737,24w+,754
69,暗沉发黄,0.19,7,1338,19w+,746
70,化妆显脏,0.16,6,7777,200w+,3328
71,吃粉底液,0.16,6,14155,110w+,2983
72,皮肤暗,0.16,6,3327,140w+,1981
73,暗淡无光,0.16,6,4724,110w+,1785
74,底妆斑驳,0.16,6,2694,42w+,1499
75,卡粉爆皮,0.16,6,1943,120w+,1426
76,卡粉搓泥,0.16,6,31083,80w+,1221
77,出油多,0.16,6,8176,63w+,950
78,懒得化妆,0.16,6,933,26w+,939
79,干纹,0.16,6,2259,41w+,892
80,暗沉脱妆,0.16,6,1741,28w+,872
81,皮肤差,0.16,6,1531,37w+,870
82,脸油,0.16,6,2198,50w+,803
83,晕妆脱妆,0.16,6,1246,100+,779
84,脸黄,0.16,6,1136,10w+,717
85,抬头纹,0.16,6,1571,5.0w+,538
86,吃粉,0.13,5,15490,80w+,6891
87,唇色深,0.13,5,13077,220w+,4948
88,黄气,0.13,5,9504,230w+,2723
89,显脏,0.13,5,1919,63w+,2720
90,口红掉色,0.13,5,1514,72w+,1677
91,麻麻赖赖,0.13,5,846,38w+,1618
92,不会化妆,0.13,5,3441,27w+,1616
93,缺水,0.13,5,2663,22w+,1326
94,皮肤下垂,0.13,5,12054,49w+,1199
95,油光满面,0.13,5,2784,93w+,1190
96,反复长痘,0.13,5,1426,11w+,1183
97,皮肤干燥粗糙,0.13,5,2804,74w+,1115
98,瑕疵,0.13,5,5570,71w+,1083
99,无光泽,0.13,5,1636,62w+,1082
100,撕嘴皮,0.13,5,1528,7.1w+,1000
101,一蹭就掉,0.13,5,1773,-,927
102,卡粉脱妆,0.13,5,1766,63w+,923
103,法令纹深,0.13,5,686,11w+,831
104,底妆脱妆,0.13,5,1797,13w+,775
105,脱妆斑驳,0.13,5,5690,24w+,772
106,眼周干燥,0.13,5,1601,-,770
107,闭口,0.13,5,11342,100w+,765
108,黑头粉刺,0.13,5,1297,13w+,742
109,长痘,0.13,5,1072,6.2w+,710
110,皮肤黑,0.13,5,9982,78w+,700
111,痘痘,0.13,5,1248,17w+,675
112,上妆不服帖,0.13,5,23479,47w+,627
113,暗沉暗黄,0.13,5,794,11w+,573
114,假白,0.13,5,1236,8700+,482
115,川字纹,0.13,5,1073,8.2w+,453
116,皮肤起皮,0.13,5,571,6.7w+,439
117,卸妆不到位,0.13,5,221,1.3w+,432
118,干燥,0.13,5,320,3.4w+,409
119,有皱纹,0.13,5,1548,6.8w+,321
120,沾杯掉色,0.11,4,3472,170w+,9619
121,费劲贴双眼皮,0.11,4,9390,84w+,3164
122,眼袋,0.11,4,1022,8.0w+,3093
123,嘴角暗沉,0.11,4,4610,98w+,2712
124,小细纹,0.11,4,1660,85w+,1464
125,修容显脏,0.11,4,1745,24w+,1337
126,试错成本,0.11,4,1392,10w+,1281
127,闷痘,0.11,4,12287,100w+,1250
128,皮肤闹情绪,0.11,4,399,26w+,1112
129,眼线难画,0.11,4,1310,29w+,1066
130,掉色,0.11,4,1407,26w+,1057
131,脸暗沉,0.11,4,872,2.9w+,906
132,油腻,0.11,4,1893,1.9w+,829
133,嘴唇干巴,0.11,4,690,25w+,781
134,粗糙,0.11,4,1108,18w+,669
135,皱纹多,0.11,4,3684,24w+,659
136,毛孔粗,0.11,4,1120,77w+,629
137,皮肤拔干,0.11,4,999,12w+,623
138,撕嘴皮子,0.11,4,1227,16w+,622
139,怕晒黑,0.11,4,1009,34w+,591
140,脸下垂,0.11,4,329,9.1w+,552
141,闭口粉刺,0.11,4,845,30w+,546
142,脸上出油,0.11,4,638,19w+,525
143,不想化妆,0.11,4,204,6.2w+,516
144,粉感重,0.11,4,912,11w+,502
145,暗黄,0.11,4,769,17w+,501
146,胶原蛋白流失,0.11,4,584,4.6w+,490
147,护肤品不吸收,0.11,4,287,8.3w+,428
148,有斑点,0.11,4,598,11w+,379
149,黄脸婆,0.11,4,2977,11w+,379
150,眼周干纹,0.11,4,797,4.0w+,375
151,脸上有斑,0.11,4,1601,21w+,351
152,拔干起皮,0.08,3,4203,230w+,10240
153,卡纹起皮,0.08,3,3465,170w+,9446
154,易掉色,0.08,3,12006,230w+,4606
155,手黏糊,0.08,3,847,35w+,3457
156,易沾杯,0.08,3,4291,23w+,2589
157,手残,0.08,3,6743,27w+,2045
158,卡粉卡纹,0.08,3,3791,89w+,2024
159,冒痘,0.08,3,6672,140w+,1898
160,鼻翼卡粉,0.08,3,1663,16w+,1884
161,遮不住瑕疵,0.08,3,4622,65w+,1667
162,黄气暗沉,0.08,3,1127,19w+,1442
163,眼线生硬,0.08,3,885,27w+,1152
164,死皮,0.08,3,1544,49w+,1140
165,眼霜无功无过,0.08,3,367,3.0w+,1106
166,无气质,0.08,3,1262,63w+,1071
167,小脸蜡黄,0.08,3,1733,8.6w+,1048
168,皮肤松,0.08,3,683,3.9w+,1035
169,泛红,0.08,3,1310,21w+,991
170,脸脖色差,0.08,3,2234,32w+,972
171,泪沟显老,0.08,3,2433,67w+,927
172,怕踩雷,0.08,3,1161,34w+,881
173,脸松垮,0.08,3,521,16w+,874
174,粘头发,0.08,3,11473,47w+,857
175,睫毛结块,0.08,3,1139,19w+,840
176,卡纹,0.08,3,519,22w+,832
177,蜡黄,0.08,3,827,30w+,829
178,怕亮太快,0.08,3,589,59w+,789
179,皱纹,0.08,3,1597,26w+,786
180,易晕妆,0.08,3,1313,16w+,779
181,粗糙暗沉,0.08,3,550,22w+,776
182,泪沟,0.08,3,897,24w+,755
183,油脂,0.08,3,1984,180w+,745
184,辣眼睛,0.08,3,1524,48w+,735
185,口红不好看,0.08,3,805,26w+,683
186,发黄,0.08,3,1627,52w+,663
187,底妆暗沉,0.08,3,345,5.8w+,634
188,蹭花底妆,0.08,3,1276,16w+,634
189,彩妆残留,0.08,3,2202,19w+,620
190,卸妆不干净,0.08,3,297,5.7w+,619
191,手干,0.08,3,1308,32w+,610
192,脸垮,0.08,3,393,21w+,594
193,沟沟壑壑,0.08,3,495,6.6w+,586
194,不持妆,0.08,3,1639,7.8w+,574
195,定妆卡粉,0.08,3,477,3.0w+,559
196,嘴巴干裂,0.08,3,979,21w+,539
197,脸暗,0.08,3,413,6.7w+,521
198,卡指甲缝,0.08,3,1369,30w+,475
199,嘴干,0.08,3,339,13w+,446
200,晕成熊猫眼,0.08,3,682,-,442
201,卡粉厚重,0.08,3,674,1.2w+,439
202,试错成本高,0.08,3,305,4.5w+,416
203,面中凹陷,0.08,3,918,-,411
204,爱撕嘴皮,0.08,3,637,-,388
205,闭口多,0.08,3,619,16w+,383
206,脸型不流畅,0.08,3,491,560+,372
207,出油暗沉,0.08,3,200,8.1w+,371
208,遮瑕不够,0.08,3,458,3.0w+,371
209,垮脸,0.08,3,217,3.2w+,367
210,脸拔干,0.08,3,909,10w+,366
211,大小脸,0.08,3,556,10w+,350
212,紧绷感,0.08,3,432,1.7w+,348
213,皮肤紧绷,0.08,3,373,-,343
214,松垮垂,0.08,3,1098,3.6w+,331
215,蹭眼皮,0.08,3,643,5.1w+,321
216,唇干起皮,0.08,3,439,1.1w+,307
217,脂肪粒,0.08,3,348,5.1w+,289
218,过敏,0.08,3,604,7.0w+,280
219,脸白脖子黑,0.08,3,478,9.2w+,280
220,显老显脏,0.08,3,872,4.0w+,265
221,晒黑,0.08,3,608,7.2w+,262
222,肿眼泡,0.08,3,227,2.0w+,255
223,有痘印,0.08,3,698,6.1w+,239
224,黑头闭口反复,0.08,3,216,9.6w+,238
225,皮肤敏感,0.08,3,322,3.2w+,225
226,眼周松垮,0.08,3,125,2.0w+,213
227,脸松,0.08,3,85,2.3w+,211
228,眼周细纹,0.08,3,207,3.5w+,206
229,吃粉严重,0.05,2,17803,220w+,7286
230,涂口红卡,0.05,2,13145,330w+,4272
231,黑眉显老,0.05,2,9290,-,3704
232,粉底不服帖,0.05,2,12204,44w+,3440
233,毛孔脏,0.05,2,3606,110w+,3422
234,出油冒痘,0.05,2,2230,110w+,3250
235,涂身体乳慢,0.05,2,687,31w+,3139
236,涂素颜霜不匀,0.05,2,669,31w+,3012
237,气垫用得快,0.05,2,1,100+,2699
238,吃粉多,0.05,2,6032,110w+,2519
