标签,覆盖商品数,覆盖率,原文命中词
保湿补水,20,0.769,hydrat/moisturiz/moisture
美白提亮,14,0.538,radian/dark spot/glow/brighten
舒缓修护,13,0.5,barrier/soothe/calm/redness/repair
纯净配方,10,0.385,vegan/cruelty-free/paraben/cruelty free
抗老淡纹,9,0.346,wrinkle/fine line/firming/anti-aging/anti aging
祛痘,9,0.346,acne/breakout/blemish/pimple
敏感肌,9,0.346,sensitive skin
香氛,8,0.308,fragrance/scent
医美/院线概念,7,0.269,dermatologist/clinical
毛孔,7,0.269,pore
速效/即刻,6,0.231,immediate/overnight/instant
去角质,4,0.154,exfoliat
防晒,2,0.077,sunscreen/spf/sun protect
抗氧化,2,0.077,antioxidant
控油,2,0.077,sebum/oil control
唇部护理,1,0.038,lip mask
黑头,1,0.038,blackhead
身体护理,1,0.038,body lotion
