优先级,点赞,作者,作者粉丝,赞粉比,发布时间,标题,命中关键词,入选理由,链接
1,339316.0,谷雨,37655,9.011,,减肥只吃一碗。。。 #满满的胶原蛋白 #砂锅猪蹄 #记录生活日常吃饭 @安吉尔空间大师好水生活 #护肤养发从水开始,胶原蛋白,低粉高赞(37655粉拿339316赞)；官方低粉爆款,https://www.douyin.com/video/7686437427929734271
2,26009.0,长乐王大大.御美翠皮肤管理,4980,5.223,,艾迪宝宝的作文.我的梦想是：竞选美丽国总统.长乐宝宝们水果能实现？#长乐 #长乐皮肤管理 #长乐眉型设计 #搞笑段子,皮肤管理,低粉高赞(4980粉拿26009赞)；官方低粉爆款,https://www.douyin.com/video/7685319996981015653
3,11560.0,大月在前行,4997,2.313,,不是～这对吗？#烟酰胺蚕丝皂 #洗脸皂 #亲测分享,烟酰胺,低粉高赞(4997粉拿11560赞)；官方低粉爆款,https://www.douyin.com/video/7685317679918234219
4,6050.0,钰辰,3671,1.648,,"报喜啦！
小雪强子夫妇喜得贵子
儿女双全   圆满啦
大家一起祝福他们吧！#家庭新成员报到
面膜一元一片",面膜,低粉高赞(3671粉拿6050赞)；官方低粉爆款,https://www.douyin.com/video/7686137383533124459
5,6626.0,爆炒洋芋🥔,4333,1.529,,"@girls breath假睫毛 2103#幻莹通用H02双眼皮贴
能不能蒙上眼睛#黄黑皮轻欧美亚裔妆 #变装@DOU+小助手",黄黑皮,低粉高赞(4333粉拿6626赞)；官方低粉爆款,https://www.douyin.com/video/7685665244454442862
6,18547.0,邹邹Z☡zᶻ ⌁,33718,0.55,,教师vlog｜到底是什么玄学啊 穿的越温柔的时候骂的越狠#C咖洗面奶  #教师日常 #vlog #反差 #松弛感氛围感穿搭,洗面奶,低粉高赞(33718粉拿18547赞)；官方低粉爆款,https://www.douyin.com/video/7686095001424492980
7,8517.0,祝我好运常在,9238,0.922,,沉浸式清闭口vlog~ #沉浸式皮肤管理vlog #挤痘痘 #痘痘黑头粉刺拜拜 #同城热点 #痘痘,皮肤管理,低粉高赞(9238粉拿8517赞)；官方低粉爆款,https://www.douyin.com/video/7686854641154352570
8,6945.0,璐.,4990,1.392,,我换了很多洗面奶 用的最多的还是这个维她白 毫不夸张 我皮肤这么好全靠它！！#好皮肤#素颜#抗氧#女高#维她白美白洗面奶,洗面奶,低粉高赞(4990粉拿6945赞),https://www.douyin.com/video/7685739553122558810
9,7624.0,小小乔,10396,0.733,,素颜才有的故事感。#素颜 #黄黑皮#大疆pocket4 #故事感,黄黑皮,低粉高赞(10396粉拿7624赞)；官方低粉爆款；高赞率,https://www.douyin.com/video/7685372524804790939
10,6298.0,漆不漆.,7711,0.817,,回复 @雷霆嘎巴无情哈拉少出门必带伏特加的评论 其实我很少花费心思在护肤上，只是习惯把清洁做好，一直在用芦卡肤洁面慕斯。我皮肤本身比较爱出油，换季的时候状态不稳定，还容易冒小疙瘩。里面有水杨酸+PCA锌，清洗得很干净，洗完不会假滑，想要温和控油、稳住皮肤状态的，可以试试看。#油痘肌护肤 #洁面分享 #换季护肤 #自用好物,水杨酸,低粉高赞(7711粉拿6298赞)；官方低粉爆款；高赞率,https://www.douyin.com/video/7686787476846043892
11,234692.0,阿丸焖居,206888,1.134,,"当你和一百万人一起吃火锅 阿丸的十万人宿舍日常之火锅篇#C咖洗面奶 #像素风 #像素画 #AI动画 #生成艺术 
（声明：本系列视频内容纯属虚构世界观，所有人物、情节、场景均为艺术创作，不影射任何现实中的个人、团体、机构或事件。请勿对号入座。视频中“十万人宿舍”及衍生环境的极端人数及规则仅为夸张表达，无任何现实指涉。本作品仅供娱乐，无不良引导。）",洗面奶,,https://www.douyin.com/video/7685643710498901254
12,10451.0,JUNPING俊平官方旗舰店,43566,0.24,,我被一个东北人“骗”了，却骗得心甘情愿#俊平带你养回生命力 #俊平人参好日子安瓶精华 #俊平人参支棱面霜  #东北 #挖人参,面霜,低粉高赞(43566粉拿10451赞)；官方低粉爆款；高赞率,https://www.douyin.com/video/7686454166017786041
13,7734.0,相宜本草官方旗舰店直播,10754,0.719,,不设轮廓，本色出“没”TA循着光影而来不被标签定义，自带耀眼光芒你，猜出TA是谁了吗？#相宜本草 #相宜本草官方旗舰店 #相宜 #相宜本草面膜 #相宜本草洗面奶,洗面奶/面膜,低粉高赞(10754粉拿7734赞)；高赞率,https://www.douyin.com/video/7685670096727185555
14,11445.0,messy艺术,44553,0.257,,泥浆面膜 #护肤分享 #玩泥巴 #行为艺术,面膜,低粉高赞(44553粉拿11445赞)；官方低粉爆款,https://www.douyin.com/video/7686200390132715493
