排名,账号,类型,粉丝,均赞,最高赞,赞粉比,量级分层,赛道出现次数,美妆占比,爆款率,怎么用,命中关键词,最有代表性的一条
1,谷雨,达人号,37655,339316.0,339316.0,9.0112,甜蜜区,1,0.05,0.2,泛娱乐号：只借结构与节奏，别抄品类,胶原蛋白,339316.0赞 减肥只吃一碗。。。 #满满的胶原蛋白 #砂锅猪蹄 #记录生活日常吃饭 @安吉尔空间大师好水生活 #护肤养发从水开始
2,阿丸焖居,达人号,206888,234692.0,234692.0,1.1344,甜蜜区,1,0.15,1.0,泛娱乐+美妆植入：只借植入手法,洗面奶,"234692.0赞 当你和一百万人一起吃火锅 阿丸的十万人宿舍日常之火锅篇#C咖洗面奶 #像素风 #像素画 #AI动画 #生成艺术 
（声明：本系列视频内容纯属虚构世界观，所有人物、情节、场景均为艺术创作，不影射任何现实中的个人、团体、机构或事件。请勿对号入座。视频中“十万人宿舍”及衍生环境的极端人数及规则仅为夸张表达，无任何现实指涉。本作品仅供娱乐，无不良引导。）"
3,小小乔,达人号,10396,7624.0,7624.0,0.7334,甜蜜区,1,0.09,0.409,泛娱乐号：只借结构与节奏，别抄品类,黄黑皮,7624.0赞 素颜才有的故事感。#素颜 #黄黑皮#大疆pocket4 #故事感
4,相宜本草官方旗舰店直播,品牌号,10754,7734.0,7734.0,0.7192,甜蜜区,1,0.55,0.2,品牌号：学货盘与自播节奏,洗面奶/面膜,7734.0赞 不设轮廓，本色出“没”TA循着光影而来不被标签定义，自带耀眼光芒你，猜出TA是谁了吗？#相宜本草 #相宜本草官方旗舰店 #相宜 #相宜本草面膜 #相宜本草洗面奶
5,邹邹Z☡zᶻ ⌁,达人号,33718,18547.0,18547.0,0.5501,甜蜜区,1,0.04,0.217,泛娱乐号：只借结构与节奏，别抄品类,洗面奶,18547.0赞 教师vlog｜到底是什么玄学啊 穿的越温柔的时候骂的越狠#C咖洗面奶  #教师日常 #vlog #反差 #松弛感氛围感穿搭
6,JUNPING俊平官方旗舰店,品牌号,43566,10451.0,10451.0,0.2399,甜蜜区,1,,,品牌号：学货盘与自播节奏,面霜,10451.0赞 我被一个东北人“骗”了，却骗得心甘情愿#俊平带你养回生命力 #俊平人参好日子安瓶精华 #俊平人参支棱面霜  #东北 #挖人参
7,一只大余,达人号,10690,2724.3,4777.0,0.2548,甜蜜区,3,0.39,0.13,美妆为主：可对标，注意非美妆内容占比,洗面奶/烟酰胺/面膜,4777.0赞 怪不得那么多人都在打卡这个 #buv洗面奶#蔡徐坤#大学生护肤 #控油清洁洗面奶#三角洲行动
8,呆泪系,达人号,16332,8362.0,8362.0,0.512,甜蜜区,1,0.3,0.6,美妆为主：可对标，注意非美妆内容占比,洗面奶,8362.0赞 我换了很多洗面奶 用的最多的还是这个维她白 毫不夸张 我皮肤这么好全靠它！！#好皮肤#甜妹#抗氧#美白洗面奶#维她白美白洗面奶
9,雪影神兔,达人号,11260,2061.0,2061.0,0.183,甜蜜区,1,0.4,0.45,美妆为主：可对标，注意非美妆内容占比,洗面奶,2061.0赞 回复 @小漫春渡的评论 嘿嘿谢谢夸奖宝宝们～你们自己去搜吧，我大学一直用的#afae抗氧洗面奶，因为我很懒不想每次在脸上涂一大堆，这个每次洗完脸都嫩嫩软软的，一整天都特别亮，头发还在用#afae洗发水#嘉桐摇#甜妹@抖音创作灵感
10,小橘子(梨涡版),达人号,19170,5229.0,5229.0,0.2728,甜蜜区,1,0.09,0.136,泛娱乐号：只借结构与节奏，别抄品类,面霜,5229.0赞 香香软软的宝宝拍着拍着就长大了#袋鼠妈妈小暖霜 #萌娃 #儿童面霜 #宝宝护肤
11,美颜坊护肤品旗舰店,品牌号,16482,359.3,4606.0,0.0218,甜蜜区,14,,,品牌号：学货盘与自播节奏,抗皱面霜/水乳/眼霜/面霜,4606.0赞 面霜+精华+水乳，一瓶多用的抗皱面霜，满脸皱纹救星的老国货，送给妈妈们的礼物！
12,messy艺术,达人号,44553,11445.0,11445.0,0.2569,甜蜜区,1,0.05,0.1,泛娱乐号：只借结构与节奏，别抄品类,面膜,11445.0赞 泥浆面膜 #护肤分享 #玩泥巴 #行为艺术
13,花开富贵,达人号,26384,2873.0,2873.0,0.1089,甜蜜区,1,,,,面膜,2873.0赞 #王源客厅狂欢巡回演唱会  #王源给我涂面膜
14,金米米,达人号,22518,636.9,2492.0,0.0283,甜蜜区,9,,,,水杨酸/烟酰胺/身体乳/面霜,2492.0赞 你说我盖过的被子都好香 我就一直用 再也没换过它～#宝玑米 调香是真的顶！#身体乳 #宝玑米身体冷霜 #仙女必备
15,肖宵,达人号,16359,1459.0,1459.0,0.0892,甜蜜区,1,,,,面霜,1459.0赞 什么有色面霜 素颜霜 我将一起通通重拳出击#彩妆 #美妆 #素颜霜 #有色面霜
16,马铃薯沙发,达人号,30166,2556.0,2556.0,0.0847,甜蜜区,1,,,,面膜,2556.0赞 发光面膜来一个 @锐先生  #男生护肤 #居家肌肉随拍 #男生护肤分享 #睡前仪式 #睡前护肤
17,馥珮【眼周护理】直播间,品牌号,25178,103.3,526.0,0.0041,甜蜜区,30,,,,抗老/眼霜,526.0赞 30+眼纹显老？试试女明星都在用的肝素钠眼霜淡纹紧致~还有超值福利#眼部护理#眼纹#抗皱紧致#抗老眼霜
18,nice to meet 秋,达人号,11214,101.9,606.0,0.0091,甜蜜区,7,,,,毛孔粗大/痘印/神经酰胺/积雪草/闭口粉刺/面膜,606.0赞 大家期待了很久的“腮红面膜”终于来喽~ #自然启蒙腮红面膜 #一周面膜安排 #一周面膜公式 #敏感肌面膜 #油痘肌面膜
19,之野传承人(若溪阿妹）,达人号,37664,389.6,678.0,0.0103,甜蜜区,7,,,,洗面奶,678.0赞 化学洗面奶真的容易伤害皮肤，快试试这个草本洗脸皂，养生妈生好皮 #之野玉肌皂
20,梨涡点点,达人号,14201,2320.0,2320.0,0.1634,甜蜜区,1,,,,面膜,2320.0赞 这年头应该没有不熬夜的年轻人吧！？一熬夜小脸黄垮暗沉的就赶紧来薅怪奇物语冰美式熬夜面膜的超大羊毛。#面膜 #面膜推荐 #护肤 #熬夜必备
21,大涵涵同学,达人号,29796,291.3,788.0,0.0098,甜蜜区,6,,,,洗面奶/积雪草/精华液/美白精华/面膜/黄黑皮,788.0赞 黄黑皮的姐妹闭眼入这个#377洗面奶 真的一用一个不吱声！#熬夜党护肤必备#熬夜#洗面奶#无限回购的宝藏单品
22,辣辣不甜,达人号,15676,1140.7,3191.0,0.0728,甜蜜区,3,,,,痘印,3191.0赞 起因是主包油痘皮还爱挤#痘印 #淡印 #重组胶原 #三角洲行动 #金铲铲之战
23,大不列点点ovo,达人号,15032,684.5,2514.0,0.0455,甜蜜区,4,,,,精华液/面膜,2514.0赞 新品冲销量新人福利！拼手速了#沉浸式面膜测评 #可孚 #修复贴 #械字号
24,大庆,达人号,43549,6595.0,6595.0,0.1514,甜蜜区,1,,,,面膜,6595.0赞 洗澡遇见碎嘴子、直接聊红温了 #碎嘴子 #搞笑 #超能演剧场2026 #伦敦合伙人 #薇诺娜特护面膜
25,Gulao好物分享,达人号,12227,1207.5,2395.0,0.0988,甜蜜区,2,,,,痘印/面霜,2395.0赞 给妈妈送一个吧   @上热门🔥🔥🔥 #补水面霜推荐 #补水保湿提亮肤色 #面霜抗皱紧致
26,妮妮超爱买,达人号,18299,348.4,1453.0,0.019,甜蜜区,5,,,,洗面奶/皮肤暗沉/身体乳/面膜,1453.0赞 油糙皮都来试试这个#童颜纪 #青苹果面膜 真的便宜又好用啊！素颜全靠它兜底#面膜 #面膜推荐 #油皮
27,噜噜晓,达人号,23473,2226.0,4434.0,0.0948,甜蜜区,2,,,,身体乳,4434.0赞 到底是哪个大聪明发明的这个可以喷的身体乳香氛喷雾～对象狂贴我啊!!#女孩子就是要香香的#精致女人必备#香氛身体乳推荐#秋冬必备#无限回购的宝藏单品
28,晓晓睡不着,达人号,13408,804.0,2309.0,0.06,甜蜜区,3,,,,烟酰胺/面膜,2309.0赞 #泡泡精华 #妆前面膜
29,琦泡泡,达人号,11767,1585.0,1585.0,0.1347,甜蜜区,1,,,,面霜,1585.0赞 奇妙萌可的盒子用完了千万别扔，还能当过家家玩具#儿童面霜 #奇妙萌可
30,唐晓,达人号,24214,3201.0,3201.0,0.1322,甜蜜区,1,,,,眼霜,3201.0赞 这个#左颜右色抗皱焕亮眼霜 越早涂效果越好 #变帅 #熬夜 #男士护肤 #小眼睛
31,阿来来,达人号,13673,1789.0,1789.0,0.1308,甜蜜区,1,,,,洗面奶,1789.0赞 #洗面奶 #洗面奶推荐
32,程实很诚实,达人号,10309,303.0,1124.0,0.0294,甜蜜区,4,,,,烟酰胺/痘印,1124.0赞 谁懂这个蚕丝皂的含金量呀！#烟酰胺#蚕丝皂#平价好物#万万没想到#看到最后
