账号,笔记数,视频笔记,代表作分数,代表作点赞,均分,总点赞,总收藏,总评论,命中关键词,代表作,代表作链接
老爸评测,1,1,635469,515136,635469,515136,44601,10377,防晒测评,那么多款防晒喷雾❗️为什么都不防晒❓,https://www.xiaohongshu.com/explore/6a88ef73000000002901ac82
嘟嘟要变美,1,1,152624,44745,152624,44745,53284,437,黑眼圈改善,每天按3分钟❗️重度黑眼圈，成功上岸✌️,https://www.xiaohongshu.com/explore/693d46b5000000001e00d20a
王哪儿跑～,1,1,147982,31770,147982,31770,57968,92,黑眼圈改善,坚持养眼半年,https://www.xiaohongshu.com/explore/6a8061bc0000000025006d11
人间清醒Max,1,1,68375,17298,68375,17298,24745,529,以油养肤,秋冬油敷｜拯救干皮，皮肤好到发光！（无广跟练,https://www.xiaohongshu.com/explore/6974c2f5000000000903addb
姜乘澜,1,0,48461,19332,48461,19332,2551,8009,护肤干货,夏天懒人洁面✨一步卸除防晒淡妆,https://www.xiaohongshu.com/explore/6a97c05d000000002900c8f6
啊陌大可爱,1,0,47698,18411,47698,18411,14444,133,护肤干货,《去黄气》干货来了！！！（图文篇,https://www.xiaohongshu.com/explore/697b5777000000000b0093b1
椰丝塔,1,0,30245,11552,30245,11552,9033,209,护肤干货,美女夏天全身抛光白白大法！（亲测无广）,https://www.xiaohongshu.com/explore/6a1e51c2000000000803fbf7
赵小乐H,1,1,26867,13135,26867,13135,6662,136,抗老面霜,17款面霜测评，不踩雷版！适不适合你一看就懂,https://www.xiaohongshu.com/explore/6a93f2fe000000002903dcf1
阿舒（护肤版）,1,0,19207,6156,19207,6156,6287,159,精简护肤,油皮精简护肤（无广）,https://www.xiaohongshu.com/explore/69088f650000000005030196
星期八约会（脂敏皮实测,1,0,19124,13437,19124,13437,2350,329,敏感肌修复,9年干敏痘肌，屏障修护💧初体验感受分享,https://www.xiaohongshu.com/explore/69ba446c000000002202a43e
美神预备役,1,0,15994,6196,15994,6196,4281,412,护肤干货,睡前变美小习惯tips（合集）,https://www.xiaohongshu.com/explore/6a8e65c50000000004009b23
文太,1,1,15874,6438,15874,6438,4601,78,油痘肌,🔥一招养出好皮肤❗️改善油痘肌（跟练版）,https://www.xiaohongshu.com/explore/68d284ae0000000007028662
小查饿了,1,0,14348,5063,14348,5063,4335,205,早C晚A,发明早c晚a的人简直是天才！！！！！！！,https://www.xiaohongshu.com/explore/69897eb9000000000d0088dd
皮肤科田歆教授,1,1,13162,4325,13162,4325,4276,95,敏感肌修复,每天几毛钱 | 把敏感肌修护好！,https://www.xiaohongshu.com/explore/6953ac1e000000001e037664
15年成分护肤蔡老师,1,1,11467,7157,11467,7157,2017,92,防晒测评,5年前我就料定它会刷新人类防晒史......,https://www.xiaohongshu.com/explore/6a4cd49d00000000160275a6
eukay,1,0,10998,4980,10998,4980,2898,74,油痘肌,油皮/混油女宝养成不长痘肤质小tips,https://www.xiaohongshu.com/explore/69c91709000000002302036e
大s变美日记,1,0,10671,4944,10671,4944,2781,55,护肤干货,大s教人护肤，毛孔细致的秘密,https://www.xiaohongshu.com/explore/6aa9e7c0000000002a02f06f
护肤小马,1,0,9154,3222,9154,3222,2780,124,成分党,3个巨能白的方法！！！（文献实证+护肤流程版）,https://www.xiaohongshu.com/explore/69c9420f000000001a02364d
然宝baby,1,0,8907,3513,8907,3513,2697,0,精简护肤,长期主义护肤品｜25岁+精简护肤,https://www.xiaohongshu.com/explore/6a57878c00000000080009c2
伍大郎烧饼摊,1,0,8904,3178,8904,3178,2788,50,黑眼圈改善,陈年老泪沟慢慢平了…,https://www.xiaohongshu.com/explore/68e64050000000000402133b
10的无坑星球,1,1,8710,3262,8710,3262,2337,258,刷酸,第8️⃣次tca填痘坑！,https://www.xiaohongshu.com/explore/69a05ce5000000001a02e6bd
幺幺琳,1,1,8325,3245,8325,3245,2345,130,防晒测评,防晒别乱买！50款实测红榜真顶流vs黑榜营销,https://www.xiaohongshu.com/explore/6a89413c000000002800b60f
陈米米,1,1,8280,2484,8280,2484,2841,38,黑眼圈改善,你的黑眼圈是假的！教你4步疏通眼周,https://www.xiaohongshu.com/explore/6a786a5d00000000060064be
心情很糟糕,1,0,6824,3299,6824,3299,1479,189,精简护肤,大学生精简护肤,https://www.xiaohongshu.com/explore/6a0ea1ac0000000008025167
Alex实话实测,1,1,6644,3462,6644,3462,1465,84,防晒测评,防晒衣问题这么多❗竟然还有那么多人不知情,https://www.xiaohongshu.com/explore/6a2be72f0000000021023f18
小芳瑞子,1,1,5984,2110,5984,2110,1871,44,以油养肤,正确油敷|拯救干皮，皮肤好到发光！,https://www.xiaohongshu.com/explore/69b7e3e90000000021011548
我没瘦,1,1,5815,2725,5815,2725,1509,24,以油养肤,素颜自由的尽头是以油养肤 5种精华油正确用法 跟练✅ #精华油的使用方法  #以油养肤 ,https://www.xiaohongshu.com/explore/69202133000000001e000ebf
鹿鱼鱼,1,0,5645,1992,5645,1992,1660,111,成分党,油皮把钱花在这三个成分上就够了,https://www.xiaohongshu.com/explore/6a3f9eff000000002201a5d8
番茄找蛋,1,0,5506,2424,5506,2424,1424,78,油痘肌,抗炎博主油痘肌护肤品分享（更新版）,https://www.xiaohongshu.com/explore/6a63235f000000001102fe12
Benny董子初,1,1,5267,2781,5267,2781,925,212,抗老面霜,2025年度大赏-面霜篇。巅峰之位花落谁家？,https://www.xiaohongshu.com/explore/69341848000000001b030433
