排名,商品,卖点标签,昨日销量,直播销量,视频销量,商品卡销量,关联达人,关联视频,链接
1,【官方自营】美迪惠尔PDRN精粹AD积雪草玫瑰面膜10盒组合,AD积雪草 PDRN精粹 玫瑰提取物,7667.0,7667.0,0.0,0.0,1.0,0.0,https://www.chanmama.com/promotionRank/yWq0pOTd_HRAqIx1FjgEH-2ZG7uRoRw5.html
2,【粉丝专享】韩国 lefilleo色修奶皮肌源修护面膜65g,,6683.0,6683.0,0.0,0.0,1.0,0.0,https://www.chanmama.com/promotionRank/xDj_GTJ670FVZV7UjNzruHoosbqSHWow.html
3,【陈圆圆专属】花知晓-雪夜礼盒双头唇釉水润提亮液腮红眼影盘送礼Z,,4922.0,4922.0,0.0,0.0,1.0,0.0,https://www.chanmama.com/promotionRank/qBROa8XCAridDGf7T3MIwk075_swKUYQ.html
4,【中秋抢先购】自然堂洗面奶水润焕亮洁面洗卸合一不紧绷清洁控油,保湿 清洁 喜马拉雅绿茶,4684.0,4678.0,11.2,0.0,91.0,43.0,https://www.chanmama.com/promotionRank/lC_1Rmr2or1vyTfbWLyjROGKfTpGQ7dB.html
5,【小松鼠专属】斐色Feise唇泥·唇蜜（自由搭配）,,4149.0,4149.0,0.0,0.0,1.0,1.0,https://www.chanmama.com/promotionRank/Z2veQWxOPFZQmZ1epCPDlpZ9cBE6IB5r.html
6,欧诗漫OSM珍白水乳组合焕白DB-GB,,3978.0,3978.0,0.0,0.0,1.0,0.0,https://www.chanmama.com/promotionRank/CKgDHlR6HXveiJc2z0WX-K9ni8m6eOSx.html
7,【中秋礼物买香水送香膏】FOCONIE法蔻尼香水东方花香正装试香,持久留香,3649.0,3204.0,103.8,454.5,42.0,36.0,https://www.chanmama.com/promotionRank/5m4Yhfhbdij1kYJv16pSBFJEFyCpV9zs.html
8,【闫玉晨专属经典粉饼16g+7.2g】花间颂粉饼柔焦控油定妆持妆zbf,控油,3531.0,0.0,0.0,3531.0,0.0,0.0,https://www.chanmama.com/promotionRank/LDyQTVeeScP_Awy7CrwDeXY6-z08fthQ.html
9,薇诺娜新品传明酸修白水乳套装 美白祛斑舒缓紧致修护 DB 0920,,3495.0,3495.0,0.0,0.0,1.0,0.0,https://www.chanmama.com/promotionRank/FWu3u_LVRn8xb7OqRg7hdTM00c2rVU8B.html
10,【升级3.0胶原炮】御泥坊东方黑参胶原棒2.0+微800次抛抗皱紧致精华,紧致 抗皱 修护,3395.0,3395.0,0.0,0.0,1.0,0.0,https://www.chanmama.com/promotionRank/td3LA1Np2iuje6wp0KKa22zgizgDNXKJ.html
11,eiio水光弹润面膜补水保湿修护透亮紧致敏肌适用,保湿 紧致 修护,3052.0,1791.0,0.0,1464.0,1.0,0.0,https://www.chanmama.com/promotionRank/slBRott5OeOfMkPBstb1QSg8GvRzGG9H.html
12,北莱美千叶玫瑰发光焕颜精油面膜,改善暗沉,2969.0,2969.0,0.0,0.0,1.0,0.0,https://www.chanmama.com/promotionRank/mMiuuKvC0EY91QIBxOAY5ZfMeJwS1bBn.html
