账号,类型,粉丝,总作品数,采样条数,均赞,中位赞,爆款率,美妆占比,怎么用,最热一条,最热一条点赞
谷雨,达人号,40561,157,20,37106.2,1164,0.2,0.05,泛娱乐号：只借结构与节奏，别抄品类,减肥只吃一碗。。。 #满满的胶原蛋白 #砂锅猪蹄 #记录生活日常吃饭 @安吉尔空间大师好水生活 #护肤养发从水开始,519947
阿丸焖居,达人号,207839,58,20,161028.1,114061,1.0,0.15,泛娱乐+美妆植入：只借植入手法,假如你上一节十万人的音乐课 阿丸的十万人宿舍日常之音乐课篇 #像素风 #像素画 #AI动画 #生成艺术,821109
小小乔,达人号,10825,29,22,6531.8,1658,0.409,0.09,泛娱乐号：只借结构与节奏，别抄品类,什么叫零颅顶，今天你知道了。这个视频其实只是主包随便说的词，没想到会火起来，发现给一些宝宝带来了焦虑，非常抱歉。但是其实主包想说的是每个人都有自己的小缺点，但是依旧可以美美哒。你只是看见了我收拾起来精致的样子，没看见我满脸黄气，土里土气的样子，但是我们都没必要过分在意，互联网上展示的只是主包想让你们看见的，说不定都是化了很久的妆，找了无数个角度了才拍出来最好的角度哈哈哈。自信的女人就是最美的，会给人很强大的气场，想变美可以找到自己适合的造型放大自己的美就好了，主包虽然不是网上很吃香的窄脸高颅顶冷白皮啥的，但是我也不太喜欢追求p成那样，（当然那样美美哒可以增强自信而且有热度，也没有排斥大家p图哦）因为我就是我，我希望大家喜欢我关注我，不只是因为皮囊，毕竟人外有人，世界上不缺美女，但是不完美的样子也是我们的辨识度，希望大家记住我喜欢我，是因为我皮囊下的灵魂哈哈哈，女人们都自信起来吧，拒绝焦虑！上一条评论区全都是美女宝宝的赞美，女孩子实在是太美好了#超绝扁头 #超绝丸子头 #日常分享 #今日份wink,67956
相宜本草官方旗舰店直播,品牌号,11140,154,20,1775.4,144,0.2,0.55,品牌号：学货盘与自播节奏,相宜本草青春代言人马上空降，宝子们猜猜是谁吧～记得点关注，现场免费送粉丝宝宝周边哦～#相宜本草   #明星空降   #顶流 #明星代言人  #相宜本草官方旗舰店,13912
邹邹Z☡zᶻ ⌁,达人号,34684,628,23,24297.7,1723,0.217,0.04,泛娱乐号：只借结构与节奏，别抄品类,04年当班主任三年进修+天天吃铁的进化之路 威信力和生命力我都要！#fiboo元气铁#00后老师#班主任#教师生活分享#校园日常记录,238465
JUNPING俊平官方旗舰店,品牌号,43642,345,0,,,,,品牌号：学货盘与自播节奏,,
一只大余,达人号,10691,524,23,2708.1,8,0.13,0.39,美妆为主：可对标，注意非美妆内容占比,我也不知道，用着用着好像就好起来了#痘印#痘痘 #植物大师 #油痘肌#护肤,37664
呆泪系,达人号,16658,41,20,25220.8,6468,0.6,0.3,美妆为主：可对标，注意非美妆内容占比,我们终于在彼此的生活杳无音信了#韩姬儿美瞳#韩姬儿棉花娃娃巧,190322
雪影神兔,达人号,11403,28,20,3527.8,2244,0.45,0.4,美妆为主：可对标，注意非美妆内容占比,我每天都呆萌的望着这个世界 直到某天有人告诉我 这叫傻#可爱 #嘉桐摇 #手势舞 #抖音二创激励计划 @抖音创作灵感,28996
小橘子(梨涡版),达人号,19194,402,22,18358.8,267,0.136,0.09,泛娱乐号：只借结构与节奏，别抄品类,我寻思：能有多爱笑？ 结果真的好爱笑！真的太治愈了🥹#治愈系笑容 #笑声会传染 #记录你的点点滴滴 #萌娃,223374
美颜坊护肤品旗舰店,品牌号,16593,0,0,,,,,品牌号：学货盘与自播节奏,,
messy艺术,达人号,44485,95,20,4332.9,958,0.1,0.05,泛娱乐号：只借结构与节奏，别抄品类,泥池游泳 #玩泥巴的最高境界 #行为艺术 #泥人,61529
